source,reference,greedy,beam4,bleu_greedy,bleu_beam4,error_type
and solomon begat roboam and roboam begat abia and abia begat asa,اور سلیمان سے رحبعام پیدا ہوا اور رحبعام سے ابیاہ پیدا ہوا اور ابیاہ سے آسا پیدا ہوا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.3487504412867632,0.693030649603082,Partial Match
and knew her not till she had brought forth her firstborn son and he called his name jesus,اور اس کو نہ جانا جب تک اس کے بیٹا نہ ہوا اور اس کا نام یسوع رکھّا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.7535481516142286,0.7669644897138996,Complete Hallucination
and they said unto him in bethlehem of judaea for thus it is written by the prophet,انہوں نے اس سے کہا یہودیہ کے بیت لحم میں کیونکہ نبی کی معرفت یوں لکھا گیا ہے کہ,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,5.621519883266595,3.73661665225275,Partial Match
but he answered and said it is written man shall not live by bread alone but by every word that proceedeth out of the mouth of god,اس نے جواب میں کہا لکھا ہے کہ آدمی صرف روٹی ہی سے جیتا نہ رہے گا بلکہ ہر بات سے جو خدا کے منہ سے نکلتی ہے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.333148435093346,0.5288208338173392,Severe Under-generation
blessed are the poor in spirit for theirs is the kingdom of heaven,مبارک ہیں وہ جو دل کے غریب ہیں کیونکہ آسمان کی بادشاہی ان ہی کی ہے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.828095513959955,1.9636807449857283,Complete Hallucination
ye are the light of the world a city that is set on an hill cannot be hid,تم دنیا کے نور ہو . جو شہر پہاڑ پر بسا ہے وہ چھپ نہیں سکتا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.3852654329718077,0.9222243386316821,Complete Hallucination
ye have heard that it was said by them of old time thou shalt not commit adultery,تم سن چکے ہو کہ کہا گیا تھا کہ زنا نہ کرنا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.7377739837112747,1.3732428802850667,Complete Hallucination
be ye therefore perfect even as your father which is in heaven is perfect,پس چاہیئے کہ تم کامل ہو جیسا تمہارا آسمانی باپ کامل ہے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,4.219022735013943,3.4772759514148315,Complete Hallucination
but when ye pray use not vain repetitions as the heathen do for they think that they shall be heard for their much speaking,اور دعا کرتے وقت غیرقوموں کے لوگوں کی طرح بک بک نہ کرو کیونکہ وہ سمجھتے ہیں کہ ہمارے بہت بولنے کے سبب سے ہماری سنی جائے گی .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.46174524702947806,0.16608551346329573,Severe Under-generation
give us this day our daily bread,ہمارے روز کی روٹی آج ہمیں دے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.345749517489102,2.8051604056085533,Complete Hallucination
